python-cffi 1.16.0-1
python-charset-normalizer 3.3.0-1
python-click 8.1.7-1
python-contourpy 1.1.1-1
python-cryptography 41.0.4-1
python-cycler 0.12.0-1
python-dateutil 2.8.2-5
python-distro 1.8.0-3
python-fastjsonschema 2.18.1-1
python-filelock 3.12.4-1
python-fonttools 4.43.1-1
python-future 0.18.3-2
python-gmpy2 2.1.5-2
python-idna 3.4-3
python-inflect 7.0.0-2
python-jaraco.context 4.3.0-3
python-jaraco.functools 3.9.0-1
python-jaraco.text 3.11.1-3
python-jinja 1:3.1.2-4
python-kiwisolver 1.4.5-1
python-markupsafe 2.1.3-1
python-matplotlib 3.8.0-1
python-more-itertools 10.1.0-1
python-mpmath 1.3.0-2
python-networkx 3.1-1
python-numpy 1.26.1-1
python-ordered-set 4.1.0-4
python-packaging 23.1-1
python-pandas 1.5.3-3
python-pillow 10.1.0-1
python-pip 23.3-1
python-pipx 1.2.0-1
python-platformdirs 3.11.0-1
python-ply 3.11-12
python-pooch 1.7.0-4
python-psutil 5.9.5-1
python-pycparser 2.21-5
python-pydantic 2.3.0-1
python-pydantic-core 1:2.6.3-1
python-pyparsing 3.1.1-1
python-pytorch-opt-cuda 2.0.1-10
python-pytz 2023.3.post1-1
python-requests 2.31.0-1
python-scipy 1.11.3-1
python-setuptools 1:68.0.0-1
python-six 1.16.0-8
python-sympy 1.12-1
python-tomli 2.0.1-3
python-trove-classifiers 2023.9.19-1
python-typing_extensions 4.8.0-1
python-urllib3 1.26.15-1
python-urwid 2.1.2.r63.g3c21a42-1
python-userpath 1.9.1-1
python-validate-pyproject 0.13-1
python-wheel 0.40.0-3
python-yaml 6.0.1-2
qca-qt5 2.3.7-2
qemu-base 8.1.2-1
qemu-common 8.1.2-1
qemu-img 8.1.2-1
qemu-system-x86 8.1.2-1
qemu-system-x86-firmware 8.1.2-1
qhull 2020.2-4
qqc2-desktop-style5 5.111.0-1
qrencode 4.1.1-2
qt5-base 5.15.11+kde+r138-1
qt5-declarative 5.15.11+kde+r30-1
qt5-graphicaleffects 5.15.11-1
qt5-location 5.15.11+kde+r5-1
qt5-multimedia 5.15.11+kde+r2-1
qt5-quickcontrols 5.15.11-1
qt5-quickcontrols2 5.15.11+kde+r5-1
qt5-sensors 5.15.11-1
qt5-speech 5.15.11+kde+r1-1
qt5-svg 5.15.11+kde+r6-1
qt5-tools 5.15.11+kde+r3-1
qt5-translations 5.15.11-1
qt5-wayland 5.15.11+kde+r59-1
qt5-webchannel 5.15.11+kde+r3-1
qt5-webengine 5.15.15-2
qt5-webview 5.15.11-1
qt5-x11extras 5.15.11-1
qt6-base 6.6.0-2
qt6-svg 6.6.0-2
qt6-translations 6.6.0-1
rav1e 0.6.6-3
readline 8.2.001-2
ripgrep 13.0.0-3
rnnoise 0.4.1-1
rofi 1.7.5-2
rpcbind 1.2.6-3
rsync 3.2.7-6
rtkit 0.13-2
runc 1.1.9-1
rustup 1.26.0-3
s-tui 1.1.4-6
sbc 2.0-1
scrot 1.10-1
sddm 0.20.0-2
sddm-kcm 5.27.8-2
sdl2 2.28.4-1
seabios 1.16.2-2
sed 4.9-3
semver 7.5.2-1
sequoia-sqv 1.1.0-1
serd 0.30.16-1
shadow 4.14.0-4
shared-mime-info 2.3-1
signon-kwallet-extension 23.08.2-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-3
signond 8.61-1
slack-desktop 4.34.121-1
slang 2.3.3-2
smartmontools 7.4-1
smbclient 4.19.2-1
snappy 1.1.9-2
socat 1.7.4.4-1
solid5 5.111.0-1
sonnet5 5.111.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
source-highlight 3.1.9-11
speex 1.2.1-1
speexdsp 1.2.1-1
spotify-launcher 0.5.1-2
sqlite 3.43.2-1
